1,小物入れ,800,2023-01-01 00:00:00,2023-01-01 00:00:00
2,ペンケース,1500,2023-01-02 00:00:00,2023-01-02 00:00:00
3,チリ産赤ワイン,4000,2023-02-01 00:00:00,2023-02-01 00:00:00
4,カナダ産メープルシロップ,1800,2023-02-02 00:00:00,2023-02-02 00:00:00
5,りんご3個セット,600,2023-03-01 00:00:00,2023-03-01 00:00:00
6,みかん8個セット,200,2023-03-02 00:00:00,2023-03-02 00:00:00
7,ワイヤレスヘッドホン,12000,2023-04-01 00:00:00,2023-04-01 00:00:00
8,コードレス掃除機,8000,2023-04-02 00:00:00,2023-04-02 00:00:00
9,スチールラック3段,3300,2023-05-01 00:00:00,2023-05-01 00:00:00
10,ステンレスハンガー10個セット,2000,2023-05-02 00:00:00,2023-05-02 00:00:00
